,Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Distance Correlation,mutual_info_score_reg,pearson_corr,Boost_Factor,Chi2_Score,Chi2_P_Value,t_stat,p_value,WoE,IV,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,inc_dec_presence,inc_dec_presence_overall
29,contentFeaturization_tags##bodysuit,0.41205237843560377,0.5209296330579711,1.069722571511443,0.3033843685784479,0.09648943913833953,0.014551836254685702,0.10042454283511934,1.2074688956012494,3.24987714987715,0.9535587834538803,1.034273934463903,0.3033843685784497,0.08079041689052167,0.002327437017392959,0.12756447248808603,0.114229117291623,0.07990072612394589,0.052844809829633604,37,11.674217145894888,13.360112405255892
14,contentFeaturization_tags##hip,2.008039853477144,0.15646736554339674,1.042526547932131,0.309581355040638,0.16377005149264287,0.04408534602906311,0.09915246790087573,0.6288050123930048,13.287272727272725,0.15003246456477154,1.0210418933286387,0.3095813550406371,0.2461265942386424,0.0031065296378207747,0.14712496923380786,0.1174539102578799,0.04509151606032716,0.0640615050057384,5,25.261874134954425,30.742539240476507
10,contentFeaturization_backgroundColors##off_white,3.5721286525739884,0.05875694631822329,1.0317203121102576,0.31208977615167033,0.1913794109060002,0.019157460957485606,0.09864227651956599,1.2599954640163296,3.0758116883116884,0.9612132118593404,1.0157363398590489,0.3120897761516681,0.055587848653847194,0.0016517731314602598,0.1247858618852645,0.11231206719407803,0.054195998301201885,0.07226634446840477,56,11.106370849386504,10.890901314403752
18,contentFeaturization_backgroundColors##khaki,1.6669702620514717,0.19666483477397503,0.76753151185516,0.38298163936891094,0.1374506850859257,0.019330083924341768,0.08518672520936334,0.6999853003086935,9.14431818181818,0.4240605118605551,0.8760887579778434,0.38298163936890806,0.16949666639159539,0.002290466888429744,0.13776712828202484,0.11731097642643021,0.04402976061297895,0.06469338836691797,8,17.437542912639035,22.426697991936837
19,contentFeaturization_tags##blonde,1.4326800340389474,0.23132755305562774,0.750803721704051,0.3881976033893867,0.12805490036200856,0.0,0.0842599835466499,1.8864150371790143,5.7844155844155845,0.7612859687861376,0.8664893084764801,0.38819760338938414,0.17945752855863692,0.002255072014017863,0.13895462755171448,0.11743241299610789,0.04321948528586495,0.0645562006502659,7,18.327320376461913,23.481968695978274
30,contentFeaturization_tags##stand,0.36630271960697874,0.5450265326644703,0.7501918065297127,0.38839033686832924,0.12477596662361161,0.03438829952947331,-0.08422588371744062,0.9432834406830252,8.012396694214877,0.532897411299126,-0.8661361362567167,0.3883903368683296,-0.15951347531171164,0.002460952636899854,0.10312536152110036,0.1206410907889655,0.048666614662101995,0.06489736050511422,11,-14.518875080883491,-8.357692813283801
34,contentFeaturization_tags##back,0.19456872408886286,0.6591410022410121,0.524709557257942,0.470450580351495,0.13926615837248835,0.024905922065064034,0.07051514521255413,0.2515463004182531,11.991735537190085,0.21377561717361931,0.7243683850486161,0.47045058035149345,0.12004370362053983,0.0015505368512035984,0.13199727603531067,0.11733285058421224,0.06236800709154818,0.0637264435232818,11,12.498141294686663,17.29932132904722
20,contentFeaturization_tags##waist,0.8694267365692301,0.35111406107065424,0.4944254966861289,0.48351599025128966,0.12120948109155179,0.0,-0.06845980748844922,0.4374877503429904,5.604377104377104,0.7787673189064389,-0.7031539637135878,0.48351599025129266,-0.0730855870130325,0.0013107583453639772,0.11139772376360167,0.12135231438569431,0.055501798956401345,0.06605795028350689,27,-8.20304966780769,-1.0064617426224443
43,contentFeaturization_foregroundColors##dark_gray,0.026828025014098297,0.869894395241346,0.4599541469707749,0.49913730048117466,0.1262679215019801,0.03644804422834924,0.0660409756023623,0.31861709592477455,11.342857142857138,0.25293783521436025,0.6781991941684812,0.49913730048117244,0.14261969815986836,0.001404657221057238,0.13460545604502086,0.11773685500157643,0.0799962360143291,0.06248739151027543,7,14.3273752668343,19.61707934824416
23,contentFeaturization_tags##shorts,0.732977788563302,0.3919196709303019,0.44770718045368557,0.5048943372210266,0.10436850485857159,0.025615046324726,0.06515960746673355,1.5092778025095184,6.4335227272727264,0.6958668348101402,0.6691092440354462,0.5048943372210312,0.09055322676270719,0.0012690870725458618,0.1286549493297363,0.11711477476040667,0.06559213002243201,0.06328713800901134,16,9.853730746559108,14.329164171266603
