,Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Distance Correlation,mutual_info_score_reg,pearson_corr,Boost_Factor,t_stat,p_value,WoE,IV,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,inc_dec_presence,inc_dec_presence_overall
11,contentFeaturization_tags##shorts,2.4241709199708676,0.11947643866617508,1.4752778842606038,0.22494787097622324,0.06148600307605115,0.02161172487604901,-0.047154651931608255,0.8616930679228403,-1.2146101779009595,0.22494787097619998,-0.09162177920897509,0.001515509113092607,0.12192071831004325,0.13440548876667005,0.10531605934482881,0.1027367045593706,124,-9.288884383509476,-7.405701849271841
51,contentFeaturization_backgroundColors##white,0.12050973325356863,0.7284822990090598,1.4198874481490535,0.23384894432845263,0.05946409308500547,0.0,-0.046262885484263605,0.9629312666450756,-1.1915903021378782,0.23384894432846218,-0.01806507582799341,0.0002734077078866792,0.13001691618606423,0.14315057634856945,0.09890045687771765,0.1240946518256422,560,-9.174716929203946,-1.2569375505478495
25,contentFeaturization_foregroundColors##black,1.0549578463384273,0.30436800705233985,1.3841456298175185,0.23981912519907628,0.05003800230752721,0.0,0.04567813344408149,1.051026437746584,1.1764971864894205,0.23981912519904358,0.0734546181124602,0.00126885441078943,0.1407240171884176,0.12950602029649946,0.1081348302772549,0.10173263466600851,152,8.662143170051031,6.874711575900903
5,contentFeaturization_backgroundColors##orange,5.082052347400339,0.024174737789703055,1.16876988088378,0.2800478118962056,0.08759699248541211,0.02326559117964666,-0.04198097034473906,0.8674310680946944,-1.0810966103377524,0.28004781189618644,-0.09287122790852274,0.0012551648752874116,0.12178702044774753,0.13389792723346178,0.11796217091566805,0.10043398159232754,100,-9.044879958894294,-7.507240454810924
33,contentFeaturization_tags##thigh,0.5696674972632791,0.4503910743604974,1.1568482749355065,0.28251197483332496,0.05361537064200381,0.0037863259950454697,0.04176669128226092,1.3416387721119314,1.0755688145978883,0.2825119748333199,0.12088915937449787,0.0012422436699740078,0.14655817075370722,0.13079178980942133,0.11895464435583333,0.10176384111231744,54,12.05456471484894,11.305536477275043
16,contentFeaturization_foregroundColors##brown,1.5273023491047995,0.21651776596760045,1.1051328572268813,0.2935259961411273,0.05716145201460048,0.0044837261077357304,0.04082404657866626,1.179198478118899,1.0512529939205393,0.2935259961410926,0.03530234900057172,0.0006483741187310366,0.13617354167866466,0.12774599161616887,0.10440343840730573,0.10201716102502521,341,6.597115068641507,3.4187929107387984
27,contentFeaturization_tags##underpants,1.0169740828065816,0.3132378420416806,1.0889304877478747,0.2970892071113823,0.06174160234793164,0.011564211838560823,-0.04052417570371813,0.9550596634193123,-1.043518321711631,0.29708920711137093,-0.035105073768184766,0.0006394103107509734,0.12810160059802167,0.1364751568118655,0.10135495114084561,0.1053122567000132,349,-6.135590102590611,-2.7115492446895906
30,contentFeaturization_tags##skin,0.842994943880108,0.35854161786397853,0.8834481703610343,0.3476018132999339,0.04843463067058765,0.0035340966708992116,-0.036506647323345756,0.9576649739041104,-0.9399192360841617,0.34760181329997564,-0.0537315569124236,0.0007928652075506611,0.1260355508635596,0.13442368314607767,0.10003659279541259,0.10449286342236412,186,-6.240070266042858,-4.280637975126099
13,contentFeaturization_tags##leggings,2.3194330403471346,0.12776658738992974,0.8589835376159894,0.35436105818946884,0.05980111558916064,0.0008052733459078532,-0.03599828799283754,0.6220303126134811,-0.926813647728597,0.3543610581895392,-0.13087708764782569,0.0010322689684798766,0.11778018381747528,0.13303917248249716,0.10998828723882657,0.10280970794863033,42,-11.469545683643952,-10.55028540014345
7,contentFeaturization_tags##crop_top,3.3313287356874572,0.06797194083470498,0.8203307350809407,0.36541300438171687,0.0739415341199187,0.006663318237329241,0.03518006043356518,1.1899085662500442,0.9057211133019617,0.3654130043817697,0.12809720494917315,0.0009064067787648919,0.14746204387467646,0.1312177447835191,0.07533127541599624,0.10457170007893477,35,12.379651180529683,11.99199484475794
