,Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Distance Correlation,pearson_corr,Boost_Factor,t_stat,p_value,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,inc_dec_presence,inc_dec_presence_overall
11,contentFeaturization_foregroundColors##black,2.406109796938958,0.12086238374468035,1.6934710100915487,0.19613427796569147,0.17481456429321549,-0.1290453464089459,0.7466594987354788,-1.3013343191092697,0.19613427796568805,0.4335500666257888,0.458026545521808,0.09061787499543604,0.08127651240388369,27,-5.343899635365953,-3.9857184120393385
10,contentFeaturization_tags##style,2.4758688235435127,0.11560554587427854,1.5262127104406529,0.21957625847640547,0.15858002372061417,0.12260789609367086,1.8952241386739885,1.2353998180510843,0.21957625847640394,0.4753337621598971,0.4471221223078317,0.06994735360052619,0.08609868768219824,16,6.309605014945427,5.2677261555525
17,contentFeaturization_backgroundColors##off_white,1.1610298092969034,0.28125206941158787,1.4658256564247945,0.2288591950305719,0.12179219202069883,0.12019357768907601,1.0643482744590405,1.2107128711733284,0.22885919503057728,0.4608450117432498,0.44066738440751396,0.07587774012715733,0.0924321736511364,55,4.578879229481682,2.0590380029051154
9,contentFeaturization_tags##corset,2.513822790404651,0.11285187910590913,1.11839321220612,0.29281271316546753,0.1655848938885292,-0.10516765283253546,0.44304355285103136,-1.0575411160830275,0.29281271316546553,0.42852116241925753,0.4549108719278825,0.06554633753003229,0.08625902509053718,13,-5.801072503892268,-5.099422829899655
24,contentFeaturization_tags##stand,0.5950203929304634,0.44048430401121264,0.931359473958359,0.33683799146893467,0.12682305198103155,-0.09606066899242592,0.541492611049711,-0.9650696731108944,0.33683799146893123,0.4284274207894417,0.4543422097181103,0.09947046315663984,0.08223918582579164,11,-5.703803955337332,-5.120182912608676
22,contentFeaturization_tags##thigh,0.7064471047166041,0.4006258162052695,0.918746375920877,0.34011606627502244,0.12616681162253218,0.09541395452405044,0.9746465898310449,0.9585125851656188,0.3401160662750228,0.4809607682417605,0.4493801824772585,0.04228324478574235,0.08610980545732023,7,7.027587551905482,6.513886606284309
23,contentFeaturization_foregroundColors##pink,0.6841332448756592,0.4081670792417519,0.6745673422195848,0.4134175285002438,0.1214810222094195,-0.08185642437458428,0.533320533640526,-0.8213204869109202,0.41341752850024227,0.4307713013827678,0.45380575760004577,0.08260742577176372,0.08438714858719312,10,-5.075840451891973,-4.601105581938085
27,contentFeaturization_backgroundColors##orange,0.4809016151617101,0.48801420561595443,0.6650565174244406,0.41671862317610375,0.08658859689191405,0.08128116244462276,1.2833192168219483,0.815509973835043,0.4167186231761073,0.46624053691997613,0.4483989648627657,0.07314275572435877,0.08632828978661816,18,3.978950322213816,3.25393454084124
21,contentFeaturization_tags##camisole,0.8091454604277272,0.36837301622522,0.4559844479927626,0.5010650873963876,0.14164172183457982,0.06737318960097421,2.43668093622409,0.6752662052796378,0.5010650873963854,0.46568207236750886,0.4492987920441678,0.08783862717447365,0.08378165488432919,14,3.64641094377359,3.1302566154408296
28,contentFeaturization_tags##leg,0.4557312713710304,0.49962575596258296,0.41750734275383317,0.5196635702268857,0.12229974542613466,-0.06448034323363555,0.5538160958846997,-0.6461480811345313,0.5196635702268881,0.4425546756850146,0.4547848862604866,0.08126561990127226,0.08538891453798708,27,-2.6892297754298906,-1.991551794719347
30,contentFeaturization_tags##holding,0.37072157569108766,0.5426112100810045,0.2955379194029659,0.5879032796374914,0.09108112277007746,0.05428324478929987,1.8274200550759936,0.5436339939729348,0.5879032796374858,0.46828139103075267,0.450314452377017,0.08516406814046347,0.08433770868602489,7,3.9898649841007536,3.7059034283034977
37,contentFeaturization_tags##lace,0.12440410825932112,0.7243061123491582,0.2721065658007373,0.603075596858814,0.07337205113843727,0.05209300867034341,1.0260137788276666,0.521638347709148,0.6030755968588173,0.4588126700936679,0.44893200827337143,0.07039841529877067,0.08879351814833303,27,2.200926117586998,1.6089542906718823
20,contentFeaturization_foregroundColors##dark_gray,0.8101212504704788,0.3680844053862463,0.2610613368073378,0.6105181348415734,0.11891471347041399,-0.05102759852969146,0.0,-0.5109416178071053,0.6105181348415774,0.4358171832535968,0.4527065518974391,0.05445286885172893,0.08596012897228499,7,-3.730754187906821,-3.4836412794276015
16,contentFeaturization_tags##back,1.3575857720457445,0.24395632693144187,0.25687036472304986,0.6133942050191976,0.14929037946948645,-0.05061741117735243,0.24367292846972763,-0.5068238004701946,0.6133942050192025,0.4393647868560704,0.45302011052324304,0.04645071253429799,0.08761172524312315,11,-3.0142864190732293,-2.6979866631076765
25,contentFeaturization_tags##dress,0.5855767734379002,0.44413466832968274,0.2154203272721336,0.6435605993896205,0.09000685761233157,-0.046363484082522194,0.6091752702970209,-0.4641339540177345,0.6435605993896101,0.439779850031884,0.45282656752948963,0.06703120038649488,0.08595015178382757,10,-2.8811731539483847,-2.606066500461822
31,contentFeaturization_backgroundColors##white,0.2917752781144039,0.5890851299838227,0.15106380468578404,0.698347111636032,0.11133838936948243,0.038837603706541886,0.8822899985871381,0.3886692741724703,0.6983471116360607,0.45261894124449575,0.44169001185382833,0.08586826681395361,0.06845673456806668,92,2.4743437925610614,0.23728704487445107
34,contentFeaturization_tags##underpants,0.2289724189843465,0.6322868132499508,0.13525133685590593,0.7138254755263811,0.11718485842337348,0.036751687674819705,0.9899527818838451,0.367765328512487,0.7138254755263906,0.45500868315026366,0.4488149468643864,0.076854552484818,0.08997756150645139,45,1.3800200570746068,0.766520851822507
15,contentFeaturization_tags##waist,1.3802246064205783,0.24006289240117368,0.12967330627739504,0.719530443041826,0.16540759177968428,-0.03598685487497203,0.4430528767077598,-0.3601017998808104,0.7195304430418216,0.44639895109928623,0.4533088155848743,0.05197638274822812,0.09279126052051545,26,-1.5243172530568851,-1.1401960447359507
29,contentFeaturization_tags##tank_top,0.4373581930991279,0.5084003068335768,0.11730875778909651,0.7326907471058879,0.0773168417176515,-0.03423029441679265,0.48732329491552245,-0.34250366098641993,0.732690747105871,0.4400899855983846,0.4522635708275165,0.07066119700528514,0.08512702774763464,6,-2.691701479926329,-2.537383674867591
38,contentFeaturization_tags##blonde,0.12303366093060143,0.7257672496009077,0.1081861625158911,0.7429065312765383,0.1116169949587225,-0.032873887288423345,1.8274200550759936,-0.3289166498003595,0.7429065312765379,0.4414134336974173,0.45229419660157855,0.09172911779269598,0.08398155054379394,7,-2.405682625582302,-2.2442919924316196
42,contentFeaturization_visualAttentionSpread##high,0.012039877803095091,0.9126263809230112,0.10379369176288435,0.7479962376725462,0.09632515463000979,0.03220032176248259,0.8808884892417745,0.3221702837986175,0.7479962376725517,0.45736827570998706,0.4503001636934776,0.05306963360928419,0.08955114364527886,18,1.5696445585395762,1.2890777648576193
41,contentFeaturization_visualAttentionSpread##low,0.012039877803095091,0.9126263809230112,0.10379369176286163,0.7479962376725724,0.09632515463002429,-0.032200321762482595,1.0266950724383457,-0.3221702837986175,0.7479962376725517,0.4503001636934776,0.45736827570998706,0.08955114364527886,0.05306963360928419,84,-1.5453874682360564,-0.27623094961236455
36,contentFeaturization_tags##posing,0.16777078491579647,0.6821006284708513,0.07838927945853616,0.780070527252819,0.0927250927207292,0.02798711825085213,1.146738815416554,0.279980855521456,0.780070527252837,0.45295264596120705,0.44764423207190235,0.0859493355585402,0.08014677720386733,75,1.1858555319108945,0.3111895099044097
19,contentFeaturization_tags##tan,0.8994092123821229,0.3429401724121075,0.060288634178737296,0.8065435403847865,0.17980043538817628,-0.02454634573305243,0.6823031532192866,-0.24553743946441564,0.8065435403847728,0.44850953323035136,0.4529362521380093,0.05153617648176314,0.09566428962039718,32,-0.9773381765673125,-0.6727851442516107
26,contentFeaturization_tags##bodysuit,0.5118504409199257,0.47433890971467574,0.04091335741344787,0.8401161951938791,0.09079646266265967,0.020222914041006325,1.4399218493002195,0.20227050554503062,0.8401161951938775,0.453888826022989,0.4503243851078698,0.0996002030662148,0.0755435872702959,35,0.7915274040213003,0.5185165592773562
33,contentFeaturization_backgroundColors##brown,0.24788827558479584,0.6185659481572792,0.029372073600695103,0.8642690789044327,0.10998163685890834,-0.017135766381128112,0.6722086660141242,-0.17138282761319945,0.8642690789044388,0.4466322752250932,0.4519657926726716,0.0634238894937822,0.0858770111151778,8,-1.1800710438812205,-1.0885239310840111
35,contentFeaturization_tags##shorts,0.21435592517178267,0.643374488104816,0.01671943395053196,0.897377103140371,0.18606685543651555,0.012929284211861954,0.1740543941484762,0.12930365018254764,0.8973771031403593,0.4541530755959669,0.4510982365412918,0.030640200311206352,0.0902816668595364,15,0.6772003983206663,0.5770374427057882
40,contentFeaturization_foregroundColors##brown,0.07191820341039706,0.7885640825351542,0.009961669569709399,0.9206964444441077,0.10137254876288922,-0.00998031929346487,0.8205087810849752,-0.09980816384301121,0.92069644444407,0.45076009262700717,0.4524332856494479,0.08662051879213582,0.08206039921834014,54,-0.3698209383597714,-0.17437478689038816
32,contentFeaturization_tags##skin,0.24911140852350006,0.6177014580973292,0.004657439927767214,0.9457265289131511,0.09033197311345004,-0.006824384968921217,0.7310357081023049,-0.06824543887885172,0.9457265289131299,0.45057113422113265,0.451881489780032,0.06467579506582165,0.09015710010312229,26,-0.2899777017946043,-0.21622163916110324
39,contentFeaturization_backgroundColors##khaki,0.096831357650278,0.7556657832237689,0.002774771046240774,0.958095071212753,0.07832813675454026,0.0052675364781205915,2.0166056643453203,0.05267609558652433,0.9580950712128119,0.4530584113251164,0.45141888747266967,0.08874885711764575,0.08418333757295025,8,0.36319345467040576,0.33461237663737314
