Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,t_stat,p_value,inc_dec_presence,inc_dec_presence_overall,pearson_corr,Distance Correlation,Boost_Factor
contentFeaturization_tags##dress,2.173244595365036,0.14042967110986793,1.437287642566821,0.23341201006709633,0.37487254898665867,0.4128444340141107,0.05350787273107927,0.09828557010649745,10,-1.1988693183857946,0.23341201006709747,-9.197625521615771,-8.371384648016042,-0.11903454927541483,0.16503632540970536,0.23274265084512738
contentFeaturization_tags##leggings,2.1230601638055884,0.14509637858564203,3.0350061756419504,0.08456083110807036,0.35678691141072627,0.4141863571663251,0.1116412366056636,0.09272983862073315,9,-1.742126911462524,0.08456083110807051,-13.858362247443345,-12.791985551763396,-0.17162770250009599,0.21133657669477246,1.0473162126345792
contentFeaturization_foregroundColors##dark_brown,1.7606727454643252,0.18454062550008005,3.551848444667099,0.0623830350480474,0.43452550271342755,0.3969720555017632,0.11519191389720676,0.08240342414642615,33,1.8846348305884386,0.062383035048047014,9.45997248199189,6.2093510351249765,0.18520311432413092,0.15066537861592513,1.2391539406381817
contentFeaturization_foregroundColors##brown,1.3765593621521668,0.2406880835894208,0.19085786557904566,0.6631454876507967,0.4052182594540559,0.4135130710134532,0.11194053685398515,0.07321827762618917,54,-0.43687282540694417,0.6631454876507972,-2.005936968103109,-0.9541025890441321,-0.04364565181536738,0.15538402084140296,0.913064552421698
contentFeaturization_tags##camisole,1.2075358228431172,0.2718206955468345,1.4207268517519087,0.23610480439450157,0.3809734034581426,0.413599838303986,0.08686475516980988,0.0963046600047743,14,-1.1919424699841479,0.23610480439449955,-7.888406093104836,-6.8801769050187565,-0.11835645125905025,0.11596288651282269,0.3491182624536363
contentFeaturization_tags##underpants,0.7735484107136147,0.379121556642543,1.3350489240532202,0.25066230904106246,0.396867561588952,0.4187960201344199,0.08086287253093606,0.10505425472225208,45,-1.1554431721435856,0.250662309041067,-5.23607137871788,-2.9952306595592924,-0.11478066849496034,0.11897048239745697,0.8509953546314034
contentFeaturization_tags##corset,0.753446986600927,0.38538708402344346,0.581369710229719,0.4475707259347632,0.39025162536517344,0.4118780032518822,0.05650251301948547,0.09967117153447842,13,-0.762476039118421,0.44757072593476765,-5.250675616557075,-4.61233779925395,-0.0760269254284568,0.12457258583212566,0.3808550110727951
contentFeaturization_tags##tan,0.7119959929042755,0.39878198594352965,1.5429007096582845,0.2170917478144004,0.3918274751906351,0.4170276316152064,0.0837198374154594,0.09975420762051833,32,-1.2421355439960156,0.21709174781440335,-6.042802566095576,-4.227159055438125,-0.12326625640744569,0.12119649867869081,0.8196834029850548
contentFeaturization_tags##posing,0.5469379369360492,0.4595715576413175,0.7302987328473353,0.3948290585665476,0.41396793363105366,0.3956599406235462,0.10099748637985606,0.0775457538235037,75,0.8545751768260916,0.3948290585665434,4.627204103264714,1.1845456843130342,0.08514716892228588,0.08426643205402357,0.9857734471514515
contentFeaturization_tags##holding,0.5203855199416505,0.470677276487783,0.8815277157357921,0.3500458692216646,0.37645480866254344,0.41152873430028386,0.1007945290979458,0.0950285631396684,7,-0.9388970740905485,0.35004586922166403,-8.522837584446222,-7.984639169798164,-0.09347859159942921,0.12134340279467512,1.5709164611244106
contentFeaturization_tags##thigh,0.46467216404852324,0.4954484878295634,0.1447149432184294,0.7044448454115795,0.42240598939470103,0.4081428578252828,0.07679382142102137,0.0968178622744101,7,0.3804141732617604,0.7044448454115856,3.49464196076266,3.247026300660731,0.03801392135791934,0.08664053289966384,1.5709164611244106
contentFeaturization_foregroundColors##dark_gray,0.4121123943380956,0.5208992800435519,0.10547452757813235,0.746034772773569,0.42046502922919327,0.40828587594274135,0.08018217337216021,0.09666214353096264,7,0.3247684214607872,0.7460347727735763,2.9829964747935436,2.772605079636186,0.03245972828504966,0.11104399349306775,2.891199767271901
contentFeaturization_backgroundColors##orange,0.36685989261097984,0.5447208907609027,0.2897587649088952,0.5915713071299724,0.39810690933222964,0.4114820125141028,0.07029234084576717,0.1000715812702201,18,-0.5382924529555451,0.5915713071299725,-3.250470925849954,-2.6923017895657204,-0.05375142689085019,0.130381155345535,0.621548379568989
contentFeaturization_tags##blonde,0.36270621081025384,0.5470071032654713,0.4665046541883384,0.49617894910093685,0.3853087614896355,0.4108763377761824,0.1325475558966428,0.09272257456990238,7,-0.6830114597781928,0.4961789491009405,-6.222693773247746,-5.8205024781912735,-0.06814238721272896,0.13206320035461785,0.8378406268317162
contentFeaturization_backgroundColors##brown,0.35695911684207415,0.5501999336216816,0.5239126776610304,0.47086727452423416,0.3856471887484754,0.41111953094869114,0.108581937542567,0.09450060382010657,8,-0.7238181247116096,0.47086727452423627,-6.195848234559971,-5.737782041048853,-0.0721929455254759,0.11048758221815304,1.3052307881711902
contentFeaturization_tags##shorts,0.30553084752977966,0.5804356728744073,0.0123906490055765,0.9115910309885921,0.41166452820087723,0.40868328156496114,0.09948413784904386,0.09518431973896077,15,0.11131329213340153,0.9115910309885977,0.729476044260992,0.6215333999197628,0.011130639655453993,0.13052723236623248,1.8328371243744705
contentFeaturization_backgroundColors##khaki,0.2999448134575865,0.5839170198397219,0.23648008769761422,0.6278240258716556,0.3933279164953464,0.4104658519915107,0.07932826525103716,0.09681050836983844,8,-0.4862921834634151,0.6278240258716522,-4.175240257627758,-3.8604121182743922,-0.048571820917325405,0.13124315784782756,0.7251312127853451
contentFeaturization_tags##back,0.21023142153275015,0.6465860786488402,0.23069039405693306,0.6320614034185379,0.39603224364964373,0.4107039421870185,0.07441785352277563,0.09777213136319432,11,-0.4803023985542169,0.6320614034185427,-3.5723296102898985,-3.199404121618289,-0.04797493494958212,0.07638547182908452,0.7855016247319159
